word,categories,word_clean_id,original_word_rows,candidate_sentence_rows,tts_job_rows,deleted_at
Abigail,人名,37,1,5,1,2026-07-18T13:44:22.959607
Adelaide,地名,293,1,5,1,2026-07-18T13:44:22.959616
Africa,地名,457,10,5,1,2026-07-18T13:44:22.959620
Alabama,地名,558,1,5,1,2026-07-18T13:44:22.959623
Alaska,地名,564,3,5,1,2026-07-18T13:44:22.959626
Albany,地名,566,1,5,1,2026-07-18T13:44:22.959628
Alfred,人名,583,1,5,1,2026-07-18T13:44:22.959630
Alps,地名,662,1,5,1,2026-07-18T13:44:22.959632
Amsterdam,地名,774,2,5,1,2026-07-18T13:44:22.959634
Amy,人名,779,1,5,1,2026-07-18T13:44:22.959637
Andromeda,人名,824,1,5,1,2026-07-18T13:44:22.959639
Annie,人名,863,1,5,1,2026-07-18T13:44:22.959641
Antarctic,地名,899,2,5,1,2026-07-18T13:44:22.959643
Arabia,地名,1101,2,5,1,2026-07-18T13:44:22.959645
Arctic,地名,1141,11,5,1,2026-07-18T13:44:22.959647
Armstrong,人名,1177,1,5,1,2026-07-18T13:44:22.959649
Arthur,人名,1213,1,5,1,2026-07-18T13:44:22.959652
Asia,地名,1249,12,5,1,2026-07-18T13:44:22.959654
Athens,地名,1360,2,5,1,2026-07-18T13:44:22.959656
Atlanta,人名/地名,1366,1,5,1,2026-07-18T13:44:22.959659
Atlantic,地名,1367,10,5,1,2026-07-18T13:44:22.959661
Atticus,人名,1404,1,5,1,2026-07-18T13:44:22.959663
Auckland,地名,1423,1,5,1,2026-07-18T13:44:22.959665
Bahmad,人名,1621,1,5,1,2026-07-18T13:44:22.959667
balkan,地名,1639,1,5,1,2026-07-18T13:44:22.959669
Barcelona,地名,1699,1,5,1,2026-07-18T13:44:22.959671
Becky,人名,1816,1,5,1,2026-07-18T13:44:22.959673
Bering,地名,1938,1,5,1,2026-07-18T13:44:22.959675
Berlin,地名,1940,3,5,1,2026-07-18T13:44:22.959677
Bert,人名,1943,1,5,1,2026-07-18T13:44:22.959679
Billy,人名,2024,1,5,1,2026-07-18T13:44:22.959680
Boston,地名,2288,3,5,1,2026-07-18T13:44:22.959682
Braille,人名,2351,2,5,1,2026-07-18T13:44:22.959684
brea,地名,2385,1,5,1,2026-07-18T13:44:22.959686
Brian,人名,2414,1,5,1,2026-07-18T13:44:22.959688
Buddha,人名,2515,5,5,1,2026-07-18T13:44:22.959690
Buford,人名,2529,1,5,1,2026-07-18T13:44:22.959692
Burgundy,地名,2589,1,5,1,2026-07-18T13:44:22.959694
Caius,人名,2679,1,5,1,2026-07-18T13:44:22.959695
Calgary,地名,2701,1,5,1,2026-07-18T13:44:22.959698
Cali,地名,2702,1,5,1,2026-07-18T13:44:22.959700
California,地名,2707,2,5,1,2026-07-18T13:44:22.959702
Canberra,地名,2755,2,5,1,2026-07-18T13:44:22.959704
Caribbean,地名,2867,1,5,1,2026-07-18T13:44:22.959706
Carl,人名,2871,1,5,1,2026-07-18T13:44:22.959708
Carla,人名,2872,2,5,1,2026-07-18T13:44:22.959709
Carmen,人名,2874,1,5,1,2026-07-18T13:44:22.959711
Caroline,人名,2882,1,5,1,2026-07-18T13:44:22.959713
Casey,人名,2911,1,5,1,2026-07-18T13:44:22.959715
CatherineⅡ,人名,2959,1,5,0,2026-07-18T13:44:22.959717
Chicago,地名,3201,1,5,1,2026-07-18T13:44:22.959720
chicopee,地名,3206,1,5,1,2026-07-18T13:44:22.959721
Chinatown,地名,3230,1,5,1,2026-07-18T13:44:22.959724
Christ,人名,3280,8,5,1,2026-07-18T13:44:22.959726
Christchurch,地名,3281,1,5,1,2026-07-18T13:44:22.959728
chuck,人名,3301,4,5,1,2026-07-18T13:44:22.959729
Cincinnati,地名,3324,1,5,1,2026-07-18T13:44:22.959732
Circe,人名,3331,1,5,1,2026-07-18T13:44:22.959733
Claire,人名,3373,1,5,1,2026-07-18T13:44:22.959735
Clancy,人名,3385,1,5,1,2026-07-18T13:44:22.959737
Clara,人名,3392,1,5,1,2026-07-18T13:44:22.959739
Cordelia,人名,4252,1,5,1,2026-07-18T13:44:22.959741
Cornwall,地名,4271,1,5,1,2026-07-18T13:44:22.959743
Crete,地名,4489,1,5,1,2026-07-18T13:44:22.959745
curt,人名,4652,4,5,1,2026-07-18T13:44:22.959747
Cuzco,地名,4684,1,5,1,2026-07-18T13:44:22.959749
Dan,人名,4737,1,5,1,2026-07-18T13:44:22.959751
Dempsey,人名,5058,1,5,1,2026-07-18T13:44:22.959753
Dollywood,地名,5805,1,5,1,2026-07-18T13:44:22.959755
Elias,人名,6314,1,5,1,2026-07-18T13:44:22.959757
elliot,人名,6325,1,5,1,2026-07-18T13:44:22.959758
